# KSA64 aligned calm (Up to date)
# 1558 data points written for 20 variables.
#
# [FlightDataType.FlightDataType.TYPE_TIME] (s),[FlightDataType.FlightDataType.TYPE_ALTITUDE] (m),[FlightDataType.FlightDataType.TYPE_POSITION_X] (m),[FlightDataType.FlightDataType.TYPE_POSITION_Y] (m),[FlightDataType.FlightDataType.TYPE_POSITION_XY] (m),[FlightDataType.FlightDataType.TYPE_VELOCITY_TOTAL] (m/s),[FlightDataType.FlightDataType.TYPE_ACCELERATION_TOTAL] (m/s²),[FlightDataType.FlightDataType.TYPE_MACH_NUMBER] (​),[FlightDataType.FlightDataType.TYPE_AOA] (rad),[FlightDataType.FlightDataType.TYPE_PITCH_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_YAW_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_MASS] (kg),[FlightDataType.FlightDataType.TYPE_CP_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_CG_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_STABILITY] (​),[FlightDataType.FlightDataType.TYPE_DRAG_COEFF] (​),[FlightDataType.FlightDataType.TYPE_THRUST_FORCE] (N),[FlightDataType.FlightDataType.TYPE_AIR_DENSITY] (kg/m³),[FlightDataType.FlightDataType.TYPE_WIND_VELOCITY] (m/s),[FlightDataType.FlightDataType.TYPE_TIME_STEP] (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.106,0.314595571,-0.00000019,0,0.00000019,7.704594448,100.65023659,0.022634764,0.000000337,0,0,2.567128051,NaN,1.041538814,NaN,1.333214209,283.646377778,1.224963549,0,0.002
0.108,0.330206285,-0.000000196,0,0.000000196,7.906232398,100.987712572,0.023227146,0.000000328,0,0,2.566915232,NaN,1.041483531,NaN,1.328868562,284.495422222,1.224961767,0,0.002
0.11,0.34622095,-0.000000201,0,0.000000201,8.108545292,101.325180188,0.023821511,0.00000032,0,0,2.566702413,NaN,1.041428238,NaN,1.324651006,285.344466667,1.224959938,0,0.002
0.112,0.362640916,-0.000000206,0,0.000000206,8.311533113,101.662639006,0.024417858,0.000000312,0,0,2.566489593,NaN,1.041372936,NaN,1.320554802,286.193511111,1.224958064,0,0.002
0.114,0.379467533,-0.000000211,0,0.000000211,8.515195842,102.000088586,0.02501619,0.000000305,0,0,2.566276774,NaN,1.041317623,NaN,1.316573713,287.042555556,1.224956143,0,0.002
0.116,0.396702149,-0.000000216,0,0.000000216,8.719533461,102.337528489,0.025616504,0.000000298,0,0,2.566063955,NaN,1.041262301,NaN,1.312701954,287.8916,1.224954175,0,0.002
0.118,0.414346116,-0.000000222,0,0.000000222,8.924545949,102.674958271,0.026218801,0.000000291,0,0,2.565851135,NaN,1.041206969,NaN,1.308934152,288.740644444,1.224952161,0,0.002
0.12,0.432400783,-0.000000227,0,0.000000227,9.130233287,103.012377485,0.026823081,0.000000285,0,0,2.565638316,NaN,1.041151626,NaN,1.30526531,289.589688889,1.2249501,0,0.002
0.122,0.450867499,-0.000000232,0,0.000000232,9.336595452,103.349785679,0.027429344,0.000000278,0,0,2.565425497,NaN,1.041096274,NaN,1.301690771,290.438733333,1.224947992,0,0.002
0.124,0.469747615,-0.000000237,0,0.000000237,9.543632422,103.687182402,0.02803759,0.000000272,0,0,2.565212678,NaN,1.041040912,NaN,1.298206187,291.287777778,1.224945836,0,0.002
0.126,0.489042479,-0.000000242,0,0.000000242,9.751344173,104.024567195,0.028647818,0.000000267,0,0,2.564999858,NaN,1.040985541,NaN,1.294807497,292.136822222,1.224943634,0,0.002
0.128,0.508753441,-0.000000248,0,0.000000248,9.959730682,104.361939602,0.02926003,0.00000026,0,0,2.564787039,NaN,1.040930159,NaN,1.291490901,292.985866667,1.224941383,0,0.002
0.13,0.528881851,-0.000000253,0,0.000000253,10.168791923,104.699299158,0.029874224,0.000000256,0,0,2.56457422,NaN,1.040874767,NaN,1.288252836,293.834911111,1.224939085,0,0.002
0.132,0.549429059,-0.000000258,0,0.000000258,10.37852787,105.0366454,0.0304904,0.00000025,0,0,2.564361401,NaN,1.040819366,NaN,1.285089963,294.683955556,1.22493674,0,0.002
0.134,0.570396413,-0.000000263,0,0.000000263,10.588938495,105.37397786,0.03110856,0.000000245,0,0,2.564148581,NaN,1.040763954,NaN,1.28199914,295.533,1.224934346,0,0.002
0.136,0.591785045,-0.000000268,0,0.000000268,10.799697332,105.384849743,0.031727742,0.000000241,0,0,2.563935762,NaN,1.040708533,NaN,1.278982032,295.545043478,1.224931904,0,0.002
0.138,0.613595217,-0.000000273,0,0.000000273,11.010477855,105.395663652,0.032346989,0.000000236,0,0,2.563722943,NaN,1.040653102,NaN,1.276040015,295.557086957,1.224929414,0,0.002
0.14,0.635826971,-0.000000279,0,0.000000279,11.221279948,105.406419655,0.0329663,0.000000231,0,0,2.563510123,NaN,1.040597661,NaN,1.273169827,295.569130435,1.224926876,0,0.002
0.142,0.658480351,-0.000000284,0,0.000000284,11.432103495,105.417117819,0.033585674,0.000000227,0,0,2.563297304,NaN,1.040542209,NaN,1.270368408,295.581173913,1.22492429,0,0.002
0.144,0.681555399,-0.000000289,0,0.000000289,11.642948381,105.427758208,0.034205111,0.000000223,0,0,2.563084485,NaN,1.040486748,NaN,1.267632879,295.593217391,1.224921656,0,0.002
0.146,0.705052158,-0.000000294,0,0.000000294,11.85381449,105.438340884,0.034824612,0.000000219,0,0,2.562871666,NaN,1.040431277,NaN,1.264960535,295.60526087,1.224918973,0,0.002
0.148,0.728970671,-0.000000299,0,0.000000299,12.064701519,105.448657361,0.035444174,0.000000215,0,0,2.562658846,NaN,1.040375797,NaN,1.264644884,295.617304348,1.224916243,0,0.002
0.15,0.753310978,-0.000000305,0,0.000000305,12.275609063,105.458875805,0.036063797,0.000000211,0,0,2.562446027,NaN,1.040320306,NaN,1.264660778,295.629347826,1.224913464,0,0.002
0.152,0.778073121,-0.00000031,0,0.00000031,12.486536976,105.469025241,0.03668348,0.000000208,0,0,2.562233208,NaN,1.040264805,NaN,1.264676751,295.641391304,1.224910637,0,0.002
0.154,0.803257139,-0.000000315,0,0.000000315,12.697485118,105.47910563,0.037303223,0.000000204,0,0,2.562020388,NaN,1.040209294,NaN,1.264692807,295.653434783,1.224907762,0,0.002
0.156,0.828863075,-0.00000032,0,0.00000032,12.908453352,105.489116936,0.037923026,0.000000201,0,0,2.561807569,NaN,1.040153774,NaN,1.264708946,295.665478261,1.224904839,0,0.002
0.158,0.854890966,-0.000000325,0,0.000000325,13.119441539,105.499059121,0.038542888,0.000000198,0,0,2.56159475,NaN,1.040098243,NaN,1.264725171,295.677521739,1.224901867,0,0.002
0.16,0.881340854,-0.000000331,0,0.000000331,13.330449542,105.508932148,0.039162809,0.000000194,0,0,2.561381931,NaN,1.040042703,NaN,1.264741483,295.689565217,1.224898847,0,0.002
0.162,0.908212777,-0.000000336,0,0.000000336,13.541477222,105.518735981,0.039782788,0.000000191,0,0,2.561169111,NaN,1.039987152,NaN,1.264757884,295.701608696,1.22489578,0,0.002
0.164,0.935506776,-0.000000341,0,0.000000341,13.75252444,105.528470583,0.040402825,0.000000189,0,0,2.560956292,NaN,1.039931592,NaN,1.264774376,295.713652174,1.224892664,0,0.002
0.166,0.963222888,-0.000000346,0,0.000000346,13.963591058,105.538135916,0.04102292,0.000000186,0,0,2.560743473,NaN,1.039876021,NaN,1.26479096,295.725695652,1.224889499,0,0.002
0.168,0.991361153,-0.000000351,0,0.000000351,14.174676937,105.547731945,0.041643072,0.000000183,0,0,2.560530654,NaN,1.039820441,NaN,1.264807638,295.73773913,1.224886287,0,0.002
0.17,1.019921609,-0.000000356,0,0.000000356,14.385781939,105.557258634,0.042263281,0.000000181,0,0,2.560317834,NaN,1.039764851,NaN,1.26482441,295.749782609,1.224883026,0,0.002
0.172,1.048904293,-0.000000362,0,0.000000362,14.596905925,105.566715945,0.042883546,0.000000178,0,0,2.560105015,NaN,1.039709251,NaN,1.264841279,295.761826087,1.224879718,0,0.002
0.174,1.078309245,-0.000000367,0,0.000000367,14.808048756,105.576103844,0.043503867,0.000000175,0,0,2.559892196,NaN,1.03965364,NaN,1.264858246,295.773869565,1.224876361,0,0.002
0.176,1.108136501,-0.000000372,0,0.000000372,15.019210294,105.585422294,0.044124244,0.000000172,0,0,2.559679376,NaN,1.03959802,NaN,1.264875312,295.785913043,1.224872955,0,0.002
0.178,1.138386098,-0.000000377,0,0.000000377,15.230390399,105.594671259,0.044744676,0.00000017,0,0,2.559466557,NaN,1.03954239,NaN,1.264892479,295.797956522,1.224869502,0,0.002
0.18,1.169058075,-0.000000382,0,0.000000382,15.441588933,105.603850704,0.045365163,0.000000168,0,0,2.559253738,NaN,1.03948675,NaN,1.264909746,295.81,1.224866,0,0.002
0.182,1.200152466,-0.000000388,0,0.000000388,15.652805755,105.612960594,0.045985704,0.000000166,0,0,2.559040919,NaN,1.0394311,NaN,1.264927117,295.822043478,1.22486245,0,0.002
0.184,1.23166931,-0.000000393,0,0.000000393,15.864040728,105.622000892,0.046606299,0.000000163,0,0,2.558828099,NaN,1.03937544,NaN,1.264944591,295.834086957,1.224858852,0,0.002
0.186,1.263608641,-0.000000398,0,0.000000398,16.075293712,105.630971565,0.047226948,0.000000161,0,0,2.55861528,NaN,1.03931977,NaN,1.26496217,295.846130435,1.224855206,0,0.002
0.188,1.295970497,-0.000000403,0,0.000000403,16.286564568,105.639872576,0.04784765,0.000000159,0,0,2.558402461,NaN,1.03926409,NaN,1.264979855,295.858173913,1.224851511,0,0.002
0.19,1.328754911,-0.000000408,0,0.000000408,16.497853156,105.648703891,0.048468404,0.000000157,0,0,2.558189641,NaN,1.0392084,NaN,1.264997647,295.870217391,1.224847768,0,0.002
0.192,1.361961921,-0.000000414,0,0.000000414,16.709159337,105.657465476,0.049089211,0.000000154,0,0,2.557976822,NaN,1.0391527,NaN,1.265015547,295.88226087,1.224843977,0,0.002
0.194,1.39559156,-0.000000419,0,0.000000419,16.920482971,105.666157295,0.049710071,0.000000153,0,0,2.557764003,NaN,1.03909699,NaN,1.265033555,295.894304348,1.224840138,0,0.002
0.196,1.429643864,-0.000000424,0,0.000000424,17.131823919,105.674779314,0.050330981,0.000000151,0,0,2.557551184,NaN,1.03904127,NaN,1.265051674,295.906347826,1.22483625,0,0.002
0.198,1.464118867,-0.000000429,0,0.000000429,17.343182042,105.683331499,0.050951943,0.000000149,0,0,2.557338364,NaN,1.038985541,NaN,1.265069903,295.918391304,1.224832314,0,0.002
0.2,1.499016604,-0.000000434,0,0.000000434,17.554557198,105.691813816,0.051572956,0.000000148,0,0,2.557125545,NaN,1.038929801,NaN,1.265088243,295.930434783,1.22482833,0,0.002
0.202,1.534337108,-0.00000044,0,0.00000044,17.76594925,105.70022623,0.052194019,0.000000145,0,0,2.556912726,NaN,1.038874051,NaN,1.265106696,295.942478261,1.224824297,0,0.002
0.204,1.570080412,-0.000000445,0,0.000000445,17.977358057,105.708568709,0.052815132,0.000000144,0,0,2.556699907,NaN,1.038818291,NaN,1.265125262,295.954521739,1.224820217,0,0.002
0.206,1.606246551,-0.00000045,0,0.00000045,18.188783478,105.716841217,0.053436295,0.000000142,0,0,2.556487087,NaN,1.038762521,NaN,1.265143941,295.966565217,1.224816088,0,0.002
0.208,1.642835557,-0.000000455,0,0.000000455,18.400225375,105.725043722,0.054057507,0.000000141,0,0,2.556274268,NaN,1.038706741,NaN,1.265162736,295.978608696,1.22481191,0,0.002
0.21,1.679847463,-0.00000046,0,0.00000046,18.611683606,105.733176189,0.054678767,0.00000014,0,0,2.556061449,NaN,1.038650951,NaN,1.265181645,295.990652174,1.224807685,0,0.002
0.212,1.717282302,-0.000000465,0,0.000000465,18.823158032,105.741238587,0.055300076,0.000000137,0,0,2.555848629,NaN,1.038595151,NaN,1.265200671,296.002695652,1.224803411,0,0.002
# Event LAUNCHROD occurred at t=0.214 seconds
0.214,1.755140106,-0.000000471,0,0.000000471,19.034648513,105.749230909,0.055921433,0.000000137,0,0,2.55563581,1.566790898,1.038539342,9.161808539,1.265219814,296.01473913,1.224799089,0,0.003
